time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
2.404613740585661e-04	1.130096e+00	2.519663e+00	4.277446e-04	9.165068e-08
2.604613740585661e-04	1.314357e+00	2.909834e+00	4.933876e-04	9.796780e-08
2.804613740585661e-04	1.510931e+00	3.321636e+00	5.626145e-04	1.041319e-07
3.004613740585661e-04	1.719515e+00	3.753976e+00	6.352438e-04	1.101476e-07
3.204613740585661e-04	1.939817e+00	4.205816e+00	7.111033e-04	1.160194e-07
3.404613740585661e-04	2.171556e+00	4.676167e+00	7.900291e-04	1.217516e-07
3.604613740585661e-04	2.414457e+00	5.164093e+00	8.718655e-04	1.273484e-07
3.804613740585661e-04	2.668256e+00	5.668702e+00	9.564646e-04	1.328138e-07
4.004613740585661e-04	2.932693e+00	6.189145e+00	1.043686e-03	1.381516e-07
4.204613740585661e-04	3.207521e+00	6.724616e+00	1.133395e-03	1.433656e-07
4.404613740585661e-04	3.492496e+00	7.274349e+00	1.225465e-03	1.484592e-07
